target,source,time,week,comment,target_id,source_id
http://ierg3320yhy.wordpress.com,http://roastyourownbean.wordpress.com,2017-03-24,9,"Although I disagree with you opinions, I still think that what you have mentioned were quite interesting. I agree that Information can be a kind of energy since I treat it as a kind of Metaphysical energy. In other words, it is not the normally mentioned, physical energy. For instance, we use the word energy to states the motivations that stimulate us, such motivation is a kind of emotional energy. It wont comply with the law of conservation of energy. However, we still call it energy, as it motivate us to follow our desires, it provide us passion and the will to live. Hence, information energy is just something similar, a metaphor.",2,id not found
http://ierg3320yhy.wordpress.com,http://meinym.wordpress.com,2017-03-24,9,"I understand your point, but I think that information somehow can be energy for human. Energy can also be defined as the ability for human to derive new knowledge from the others, Internet and media. It can also be indicated as the forcefulness of expression.",2,26
http://ierg3320yhy.wordpress.com,http://ierg3320520.wordpress.com,2017-03-25,9,"Thank you for your sharing!
I am attracted by your topic. In fact, I really buy what you have said, we cannot say information is a kind of energy, but we can say energy can directly and indirectly affect human. The properties in Physics really prove information is not a kind of energy. In addition, I am just thinking why information can affect human so much though it is not a matter or energy. Sometimes the human thoughts are so powerful that we cannot calculate it and it is not even a matter, but it give a great impact on human lives",2,77
http://ierg3320yhy.wordpress.com,http://ierg3320blog.wordpress.com,2017-03-20,9,"Thank you for your sharing. I agreed that opinion mining is really useful for the companies to analysis whether the customers satisfy with their products or not. The example that you have given (i.e. Taobao) is one of the significant examples, which can show how a company utilizes the opinion mining to classify the product. I have got another example, that is the Agoda. It is a website which introduces the hotels for the travelers. It collects the reviews from the customers and tries to classify the review into different categories. So as to suggest the best hotel to the users.",2,10
http://ierg3320yhy.wordpress.com,http://mosessmng.wordpress.com,2017-03-21,9,"Thanks for your sharing. I think it is a bit hard for me to understand. Although you have given a example that the camera is a bit expensive, but it is very clear"", I dont know where do the shoot"" come from and I think that the clear"" refers to the camera position is very clear (e.g. the camera is good at taking astronomy photo), but not the image quality"". As you have mentioned that it is called hidden type of object, those adjectives describing objects are required to be deduced. I think that the deduction of object may go wrong somehow.
On the other hand, I just learnt extracting evaluation object can be done by evaluation of adjectives words, besides counting the frequency. That really widens my horizon. Are there any more possible solutions to deduce the evaluation objects?",2,64
http://ierg3320yhy.wordpress.com,http://ierg3320charles.wordpress.com,2017-03-21,9,"For a machine, it is not easy to recognize which comment or opinion is positive or negative. And therefore some methods are suggested that you just mentioned in order to let the machine to recognize that. Time is still needed for machines to learn"" how to know a comment which is positive or negative, however using human power to process those comments is not efficient and it may cost a lot of money. Also, as you mentioned, the machines may need to know about the evaluation objects that imply into the context. I think the technology of machine learning is not that developed for analyzing those evaluation objects, time is needed to handle those problems.",2,48
http://ierg3320yhy.wordpress.com,https://ronald3320.wordpress.com/,2017-03-24,9,"Opinion mining can be useful in several ways.  It can help marketers evaluate the success of an ad campaign or new product launch, determine which versions of a product or service are popular and identify which demographics like or dislike particular product features. For example, a review on a website might be broadly positive about a digital camera, but be specifically negative about how heavy it is. Being able to identify this kind of information in a systematic way gives the vendor a much clearer picture of public opinion than surveys or focus groups do because the data is created by the customer.  However, there are also several challenges in opinion mining. The first is that a word that is considered to be positive in one situation may be considered negative in another situation. Take the word long"" for instance. If a customer said a laptops battery life was long, that would be a positive opinion.  If the customer said that the laptops start-up time was long, however, that would be is a negative opinion. These differences mean that an opinion system trained to gather opinions on one type of product or product feature may not perform very well on another. A second challenge is that people dont always express opinions the same way. Most traditional text processing relies on the fact that small differences between two pieces of text dont change the meaning very much.  In opinion mining, however, the movie was great"" is very different from the movie was not great"".Liked by 1 person",2,id not found
http://ierg3320yhy.wordpress.com,http://meinym.wordpress.com,2017-03-24,9,"In my opinion, opinion mining can be useful in several ways. It is a type of natural language processing for tracking the mood of the public about a particular product.
Opinion mining, which is also called sentiment analysis, involves building a system to collect and categorize opinions about a product. Automated opinion mining often uses machine learning, a type of artificial intelligence (AI), to mine text for sentiment.",2,26
http://ierg3320yhy.wordpress.com,https://ronald3320.wordpress.com/,2017-03-23,9,"For talking about the passive context, iBeacon is a good representative for it. The iBeacon can be attached to something that is worn or carried, or in a wristband or a name tag. In this configuration, the iBeacon is pinging and receiving stations are located in areas where you want to pick up the signal. The user, in this case, does not need to do anything but wear the iBeacon. No phones are needed. No apps needed. The iBeacons, in this case, are passively recording and triggering user actions. Under this feature, retail stores can track shopper in their shop where they are using carts and baskets. The iBecaons can be attached to them and as the shopper walks around the store you can get heat maps information and the path through the store. This information can be used to more effectively drive people to promotions and drive sales of higher value goods. At the same time, retail stores can configure alerts to staff when certain conditions are met. For example, when there are big lines at the checkout, you can automatically notify staff.",2,id not found
http://ierg3320yhy.wordpress.com,http://meinym.wordpress.com,2017-03-24,9,"I agree that the context service model can be divided into active and passive. Active context awareness is an application automatically adapts to discovered context, by changing the applications behaviour. And that of passive context presents the new or updated context to an interested user or makes the context persistent for the user to retrieve.",2,26
